Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Скопенко;Ярослав;Трохимович;Чоловік;1985-10-30;Паралегал;село Залізне;площа Чорноморська, буд. 897, Світлодарськ, 64110;002 126 03 69;filipenkostepan@example.org
Засенко;Кирило;Адамович;Чоловік;1983-11-14;Гінеколог;хутір Славутич;парк Дружний, буд. 170, Березне, 09576;003 926 57 78;khomashukhevych@example.com
Кириленко;Макар;Дмитрович;Чоловік;1986-12-28;Реабілітолог;місто Благовіщенське;провулок Селищний, буд. 843 кв. 40, Боково-Хрустальне, 15991;045 722 13 73;allaorlyk@example.net
Шморгун;Станіслав;Антонович;Чоловік;1979-08-14;Реставратор;місто Золоте;проспект Дерибасівська, буд. 448, Корець, 41456;+380 57 026 59 08;adaakulenko@example.com
Дробаха;Леонтій;Іванович;Чоловік;1982-08-01;Скульптор;село Сніжне;шосе Східчастий 3-й, буд. 17 кв. 997, Козятин, 60979;078 312 38 76;zakharenkopylyp@example.com
Червоненко;Микита;Віталійович;Чоловік;1997-07-12;Філолог;село Нова Каховка;сквер Нерубайська, буд. 0 кв. 4, Полтава, 49938;+380 65 062 84 89;ihorpustovit@example.org
Дуплій;Варфоломій;Валентинович;Чоловік;1956-05-14;Електрик;село Броди;парк Танфільєва, буд. 9 кв. 82, Буча, 97145;+380 (04) 793-23-87;marusia90@example.net
Шморгун;Стефан;Мартинович;Чоловік;1940-02-01;Клавішник;хутір Підгайці;проспект Виноградна 3-тя, буд. 15, Мелітополь, 11900;+380 70 200-19-44;parasiukamaliia@example.org
Цюпа;Станіслав;Романович;Чоловік;1997-05-02;Стиліст;хутір Збараж;сквер Кредитний, буд. 468 кв. 1, Родинське, 81679;+380 00 587-99-67;iustynafastenko@example.com
Олійник;Онисим;Юстимович;Чоловік;1995-02-21;Програміст;хутір Світловодськ;узвіз Костанді, буд. 46, Ізюм, 01524;513-49-97;orynanestaiko@example.net
Дубина;Аркадій;Пилипович;Чоловік;1987-09-20;Громадський діяч;село Погребище;парк Долинська, буд. 714, Саки , 82818;+380 (38) 153-98-90;omelian98@example.org
Юхименко;Остап;Русланович;Чоловік;1999-08-07;Фармацевт;село Чорнобиль;сквер Володимира Хавкіна, буд. 05, Добромиль, 79658;461 93 56;vitalii04@example.com
Забарний;Роман;Тарасович;Чоловік;1990-01-14;Продюсер;село Голубівка;шосе Архітектурна, буд. 02, Дніпро , 83476;+380 61 101 34 02;qbarabash@example.net
Мазур;Володимир;Олегович;Чоловік;1949-06-25;Астронавт;місто Шпола;провулок Набережна, буд. 8 кв. 2, Голубівка, 65475;378-42-57;bohdan52@example.org
Захарченко;Гаврило;Симонович;Чоловік;1981-04-24;Футболіст;село Фастів;узвіз Композитора Глинки, буд. 266, Березне, 41019;+380 47 773-75-38;anastasiiagalagan@example.org
Атрощенко;Леон;Вадимович;Чоловік;1951-09-14;Клавішник;селище Антрацит ;шосе Мала, буд. 280 кв. 3, Новоазовськ, 85270;972 20 26;hordii08@example.org
Голик;Тарас;Леонтійович;Чоловік;1944-04-09;Епідеміолог;хутір Новий Калинів;проспект Тираспольська, буд. 48, Соснівка , 93772;088 200-05-54;boleslaviemets@example.com
Артимишин;Ігор;Микитович;Чоловік;1959-09-18;Клоун;місто Кадіївка;шосе Лінія 50-та, буд. 7 кв. 4, Лебедин, 48850;+380 55 680 33 17;akulenkoostap@example.net
Полтавець;Олесь;Богданович;Чоловік;1967-08-31;Няня;село Вознесенськ;вулиця Авангардна, буд. 282 кв. 17, Боярка, 11429;+380 24 340-75-23;amvrosiizabashta@example.org
Верес;Адам;Устимович;Чоловік;2001-04-27;Стиліст;селище Новоазовськ;шосе Монастирський, буд. 92, Камінь-Каширський, 92175;441-51-95;spas54@example.net
Савенко;Борислав;Аркадійович;Чоловік;1954-07-19;Акушер;місто Алмазна;шосе Андросовський, буд. 6 кв. 9, Бережани, 98788;+380 98 382-74-06;dhaida@example.com
Смик;Лукʼян;Венедиктович;Чоловік;2004-11-11;Локсмайстер;хутір Новогродівка;парк Пересипська 4-та, буд. 11 кв. 8, Вовчанськ, 05920;061 809-57-58;amvrosiiiaremenko@example.org
Литвин;Ярослав;Ааронович;Чоловік;2003-03-30;Доцент;село Чигирин;шосе Наклонна, буд. 747, Суходільськ, 41059;454 31 75;cdanyliuk@example.org
Артюшенко;Остап;Макарович;Чоловік;1960-06-01;Біолог;хутір Петрово-Красносілля;сквер Юннатів 1-й, буд. 6, Жовті Води, 14193;468 13 46;uneporozhnii@example.net
Ніколюк;Пармен;Станіславович;Чоловік;1942-10-01;Педагог;місто Скалат;сквер Трояндова, буд. 54 кв. 71, Зимогір'я, 15332;091 270 21 10;alinaturkalo@example.net
Доценко;Костянтин;Азарович;Чоловік;1941-03-19;Фрілансер;місто Бобринець;провулок Кладовищний, буд. 7 кв. 673, Канів, 20877;+380 42 983-55-30;oleksandr93@example.net
Товстуха;Єлисей;Тимофійович;Чоловік;2007-03-10;Гірничий інженер;селище Червоноград;проспект Іспанський, буд. 0 кв. 2, Зміїв, 91227;+380 73 211-04-16;havryshteodor@example.org
Іваненко;Віктор;Климентович;Чоловік;1953-08-02;Письменник;селище Маріуполь;узвіз Пересипська 2-га, буд. 579 кв. 206, Дніпрорудне, 34916;+380 04 684-12-96;varvarapelekh@example.com
Бебешко;Франц;Адамович;Чоловік;2006-06-26;Різноробочий;селище Таврійськ;набережна Куликовський 2-й, буд. 98, Вижниця, 21864;441-49-06;bohuslaviarosh@example.net
Асаула;Теодор;Охрімович;Чоловік;1987-05-22;Швачка;хутір Новодністровськ;проспект Об'їзна дорога, буд. 973 кв. 73, Радивилів, 92885;698 19 38;herman03@example.com
Баранець;Ілля;Несторович;Чоловік;1942-01-29;Ріелтор;селище Жидачів;шосе Лиманчик 2-й Лінія 1-ша, буд. 69 кв. 9, Старий Самбір, 17606;+380 26 785 05 21;ufastenko@example.org
Козак;Валентин;Зиновійович;Чоловік;2006-03-22;Мінералог;місто Молочанськ;парк Романтиків, буд. 78 кв. 8, Ромни, 97015;061 256 52 17;ievtushenkoprokhir@example.com
Ковпак;Гаврило;Костянтинович;Чоловік;1973-08-16;Гінеколог;хутір Скалат;площа Виноградна, буд. 79, Ужгород, 64536;666-69-70;violetta01@example.net
Чекалюк;Станіслав;Омелянович;Чоловік;2007-04-23;Кушнір;хутір Великі Мости;парк Ванний, буд. 6, Приморськ (Україна), 77842;019 185-17-36;borysbandurka@example.net
Рубець;Микита;Леонтійович;Чоловік;2007-07-14;Піаніст;село Заставна;парк Марата, буд. 65, Роздільна, 23368;060 479 33 70;viktoriia08@example.net
Сич;Болеслав;Богодарович;Чоловік;1967-11-09;Етнограф;селище Краматорськ;площа Вапняний 3-й, буд. 4, Соснівка , 43379;+380 87 886-09-12;odarka15@example.com
Венгринович;Гліб;Аврелійович;Чоловік;1946-09-22;Хореограф;селище Пологи ;проспект Новоселів, буд. 46, Новий Калинів, 62861;+380 54 516-81-73;solomonkonoplenko@example.com
Єрченко;Станіслав;Аврелійович;Чоловік;1938-07-10;Парфюмер;селище Добропілля;набережна Велика Арнаутська, буд. 18 кв. 0, Золочів, 46872;+380 38 955 58 89;ilytvynenko@example.org
Приходько;Руслан;Данилович;Чоловік;1987-11-16;Інженер;місто Тернівка ;шосе Травневий 3-й, буд. 503, Рожище, 58476;011 475-73-66;amaliia96@example.org
Ємельяненко;Костянтин;Глібович;Чоловік;2005-02-22;Програміст;село Чернігів;сквер Костанді, буд. 8 кв. 28, Хотин, 60936;258 04 65;zakusyloheorhii@example.net
Балабан;Степан;Омелянович;Чоловік;1969-11-27;Євнух;село Чернігів;площа Нежданової, буд. 8, Гребінка, 38053;+380 49 633-78-44;lemeshkoirena@example.net
Сиротенко;Онисим;Орхипович;Чоловік;1991-05-24;Машиніст;село Корюківка;шосе 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 3, Українка , 66870;+380 93 321 09 19;oryna69@example.org
Бабʼюк;Мартин;Вікторович;Чоловік;1978-08-19;Мірошник;хутір Дубно;проспект Високий, буд. 95 кв. 876, Дніпрорудне, 19482;+380 15 184-84-40;pavlohavrylenko@example.org
Цимбал;Адам;Устимович;Чоловік;1963-05-20;Актор;місто Тростянець;площа Тургенєва, буд. 815, Іллінці, 83754;176 92 48;anastasiiazhadan@example.org
Дашкевич;Августин;Лукʼянович;Чоловік;2004-03-24;Продюсер;селище Чернівці;парк Кузнечна, буд. 17 кв. 9, Люботин, 43742;+380 28 250 01 47;viktor11@example.net
Теличенко;Леон;Ааронович;Чоловік;2005-02-17;Слідчий;хутір Новомиргород;парк Магнітогорський 3-й, буд. 29, Могилів-Подільський, 42539;+380 97 563-33-11;albertdevdiuk@example.net
Дурдинець;Демид;Яковович;Чоловік;1995-09-05;Мистецтвознавець;селище Іршава;площа Висока, буд. 91, Канів, 37564;+380 (42) 340-00-83;ielysei00@example.com
Стус;Ярослав;Альбертович;Чоловік;1965-01-14;Письменник;хутір Зеленодольськ;набережна 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 314, Антрацит , 78748;049 028 77 10;jandriishyna@example.net
Рак;Дан;Єлисейович;Чоловік;1957-06-22;Мистецтвознавець;село Сторожинець;узвіз Олексіївська, буд. 71, Судова Вишня, 30945;230 76 77;vasylechkooleksandr@example.net
Вовк;Тимофій;Ігорович;Чоловік;1947-11-23;Науковець;місто Лутугине;набережна Дачний 2-й, буд. 7, Гайворон, 63396;+380 23 110-08-26;roksolana22@example.net
Скиба;Прохір;Михайлович;Чоловік;1991-11-30;Композитор;село Феодосія;парк Соляний 5-й, буд. 74 кв. 872, Бібрка, 39277;+380 83 973 55 66;daryna73@example.com
Єременко;Данило;Макарович;Чоловік;1972-04-19;Реставратор;селище Подільськ;шосе Магнітогорський, буд. 1 кв. 0, Добромиль, 97472;+380 77 144-64-21;iarkhymovych@example.net
Штепа;Давид;Захарович;Чоловік;1945-08-27;Ветеринар;селище Таврійськ;проспект Садова 2-га, буд. 8 кв. 347, Федорівка, 97633;+380 65 623-31-69;frants27@example.net
Нестайко;Валентин;Пантелеймонович;Чоловік;1958-02-06;Актор;село Новомосковськ;площа Кристаловського, буд. 25, Джанкой, 71720;089 807-80-45;udzhus@example.net
Колодуб;Марко;Сергійович;Чоловік;1988-01-09;Секретар;селище Решетилівка;площа Заводська 1-ша, буд. 21 кв. 7, Радивилів, 39526;034 272-19-05;parmenderevianko@example.net
Атаманюк;Болеслав;Августинович;Чоловік;1947-10-27;Слідчий;селище Нова Каховка;узвіз Дружний, буд. 8, Нетішин, 28195;068 896-16-65;bohuslavahavrysh@example.org
Байда;Гордій;Стефанович;Чоловік;1972-04-25;Модель;хутір Каховка;вулиця Польська, буд. 8 кв. 933, Богодухів, 83864;+380 91 135 84 56;tlupii@example.net
Макогон;Віталій;Демидович;Чоловік;1991-07-08;Антрополог;місто Апостолове;сквер Сосюри, буд. 547, Міусинськ, 12609;+380 73 958 58 21;petropushkar@example.com
Безбородько;Богуслав;Семенович;Чоловік;1994-11-21;Стропальник;місто Шпола;вулиця Водопровідна, буд. 93, Буськ, 69890;+380 67 974 74 46;okhrimperepelytsia@example.net
Вдовенко;Пилип;Іванович;Чоловік;1942-11-15;Маркетолог;хутір Кам'янка-Дніпровська;узвіз Тираспольське, буд. 917 кв. 248, Шепетівка, 06292;+380 76 219-91-23;mariiaiurchyshyn@example.net
Ісаєвич;Артем;Трохимович;Чоловік;1977-10-09;Електромонтажник;місто Токмак;провулок Вапняний 1-й, буд. 6, Болехів, 45045;+380 71 210 64 89;edyta35@example.org
Алексюк;Гаврило;Олексович;Чоловік;1998-04-30;Педагог;селище Тараща;вулиця Уютна, буд. 0, Хмільник, 50472;408 26 41;gdubenko@example.net
Яремко;Євген;Данилович;Чоловік;2006-11-10;Композитор;місто Козятин;шосе Сирітський 2-й, буд. 30 кв. 105, Олександрія, 70470;+380 49 296-34-48;leontiistus@example.com
Байдак;Валентин;Миколайович;Чоловік;1957-10-11;Електромонтажник;селище Дубляни;площа Ювілейний 1-й, буд. 3 кв. 49, Теплодар, 72336;059 892 01 53;abaranets@example.org
Даниленко;Тарас;Данилович;Чоловік;1996-10-06;Соціолог;хутір Суходільськ;сквер Мазепи Івана, буд. 956 кв. 30, Брянка, 19325;+380 16 874-33-76;avreliiievtushenko@example.com
